id,geom,NAME,category,lat,lng,geohash
1,0101000020E6100000B1B138B1EE8352C0DD1BA7BE15911240,Insurgentes Taco Bar,Taco Place,4.641684512,-74.06144362,d2g66s
2,0101000020E6100000033A6C648A8352C0C5CC9677B76A1240,Casa San Isidro,French Restaurant,4.604215497,-74.05532179,d2g64y
3,0101000020E61000008F079E38668252C0F5F96E9EE8E01240,Wok,Asian Restaurant,4.719637371,-74.03748908,d2g6g5
4,0101000020E6100000357783557D8352C0EEF4EB58D6A21240,Harry Sasson,Restaurant,4.659020795,-74.05452478,d2g6db
5,0101000020E6100000DF6FB4E3868452C0855D143DF0611240,Prudencia,Comfort Food Restaurant,4.595643,-74.070733,d2g64k
6,0101000020E610000032072CC33E8452C0E772481BE0831240,Varietale Cafes y Tes,Café,4.628784586,-74.06633071,d2g66d
7,0101000020E610000087CA8C8B9B8852C05277FC5184A51240,Da Quei Matti,Pizza Place,4.661637574,-74.13449372,d2g690
8,0101000020E6100000D54D47F4F18652C0EA7FCD51EEB11240,Gurús,Bakery,4.673760679,-74.10851771,d2g69d
9,0101000020E6100000640A487B5D8452C06446F765EB761240,WOK Museo Nacional,Asian Restaurant,4.616132348,-74.06820566,d2g668
10,0101000020E610000094826342948352C0565B27737A9B1240,Criterión,French Restaurant,4.651834296,-74.05592403,d2g66y
11,0101000020E610000026734084208352C0D62063980FB31240,Chef Burger,Burger Joint,4.674864179,-74.04885966,d2g6dg
12,0101000020E6100000D504AE116D8352C0929FB2D364AD1240,Central Cevichería,Seafood Restaurant,4.669329937,-74.05353205,d2g6df
13,0101000020E6100000D121441B6E8352C0B9571C2E88AD1240,Osaka - Cocina Nikkei,Asian Restaurant,4.669464798,-74.05359537,d2g6df
14,0101000020E6100000FA2AC375328352C0B83A210FC5CC1240,Home Burgers,Burger Joint,4.699970471,-74.04995483,d2g6dz
15,0101000020E6100000ADC27C856D8352C01BDD7787A6AD1240,La Brasserie,French Restaurant,4.669580571,-74.05355966,d2g6df
16,0101000020E6100000DFDF047E768352C070D708DFFCAE1240,Les amis Bizcochería,Bakery,4.670886502,-74.05410719,d2g6df
17,0101000020E6100000B3B26220098352C02397934C7EC61240,La Bifería,Argentinian Restaurant,4.693841168,-74.04743204,d2g6en
18,0101000020E610000087A8C29FE18352C000F8F1E1A38F1240,El Verdugo,Vegetarian / Vegan Restaurant,4.6402736,-74.060646,d2g66s
19,0101000020E61000000C7F0EA1678352C0E6CB4E5B54AE1240,Primi,Italian Restaurant,4.67024367,-74.05320002,d2g6df
20,0101000020E61000002771B1156E8452C0475D4A9EC1BE1240,Vasconia,Bakery,4.68628547,-74.06921904,d2g6dt
21,0101000020E6100000DC059175EB8152C077A81D7810C71240,La Puerta De Alcalá,Spanish Restaurant,4.694398763,-74.02999629,d2g6eq
22,0101000020E6100000682CAB3A388352C0044EB30664A51240,Bandido Bistro,French Restaurant,4.661514382,-74.05030696,d2g6db
23,0101000020E61000004C51B268148252C0E5F4C130E2E51240,Chopinar,Buffet,4.724495661,-74.03249566,d2g6gk
24,0101000020E6100000FC1D8A027D8352C0E694809884AB1240,WOK,Asian Restaurant,4.667498,-74.054505,d2g6dc
25,0101000020E610000086E595DDDD8252C0CA0B2690CAC41240,Burger Music,Burger Joint,4.692178967,-74.0447916,d2g6en
26,0101000020E610000049473342188352C0CD29622AFFB21240,Al Agua Patos - Tostadas & Café,Diner,4.674801504,-74.04835563,d2g6dg
27,0101000020E6100000F69C2F850C8352C00AF4FADDFDB81240,Gaira,Restaurant,4.680655926,-74.04763918,d2g6eh
28,0101000020E6100000D0A5C527278352C04F85A3FF0AB01240,Cacio & Pepe,Italian Restaurant,4.671916956,-74.04926485,d2g6df
29,0101000020E6100000790BCDFE9D8352C05594DD7F95CC1240,Burger Music,Burger Joint,4.699789045,-74.05651827,d2g6dz
30,0101000020E610000054D09209808352C04CC566A2089B1240,El Cielo,Latin American Restaurant,4.651400125,-74.05468978,d2g66y
31,0101000020E61000000AEF6D534D8652C09B4DD5582C8F1240,Crepes & Waffles,French Restaurant,4.639817608,-74.0984696,d2g63u
32,0101000020E61000003E6393F2488352C026343074A3A71240,La Cesta,Breakfast Spot,4.663709464,-74.05132737,d2g6dc
33,0101000020E610000009AF87C37B8352C046F8E57A5EAA1240,Andrés D.C.,Steakhouse,4.666376038,-74.05442894,d2g6dc
34,0101000020E61000007F92CB8CD88352C0460F73AD079E1240,Stromboli Deep Dish Pizza,Pizza Place,4.654326162,-74.06009216,d2g66x
35,0101000020E61000007465C2F5FD8352C02E1F84DBECC01240,Sr Grill,Restaurant,4.68840354,-74.06237549,d2g6dt
36,0101000020E6100000AC1507735E8752C0B7124BD61F871240,La Biferia,Steakhouse,4.631957386,-74.11513973,d2g637
37,0101000020E61000000390A332A58352C0E691D86F77981240,Cantina Y Punto,Mexican Restaurant,4.648893116,-74.05695787,d2g66y
38,0101000020E6100000C947FBAB818652C0C93CC2705E971240,WOK,Asian Restaurant,4.647821199,-74.10166454,d2g63y
39,0101000020E6100000CCEA7950BB8052C08D397B1691A61240,Restaurante Regis,Italian Restaurant,4.662662841,-74.01143276,d2g6eb
40,0101000020E6100000FA2C78913C8352C055805222EBC21240,Al Agua Patos,Café,4.69035009,-74.05057179,d2g6dv
41,0101000020E61000007AD2D574668452C0DB84B1923B751240,Home Burgers,Burger Joint,4.614485066,-74.06875344,d2g668
42,0101000020E6100000D7FA22A12D8252C071CF4E6100E41240,El Kiosco golosinas,Snack Place,4.7226577,-74.034035,d2g6g7
43,0101000020E61000001AE0826C598252C033535A7F4BE01240,Crepes & Waffles (Torre HHC Piso 10),Creperie,4.719038,-74.036708,d2g6g7
44,0101000020E6100000420EA923B58352C090A8B7F0A89A1240,Bistecca e Vino,Italian Restaurant,4.651035081,-74.05793087,d2g66y
45,0101000020E61000002D0CA2739B8352C01E1CE798C1A41240,Café Quindío,Café,4.660894765,-74.05636302,d2g6db
46,0101000020E6100000B2DA4FAC3C8352C08197DFDF2CA71240,Brot Bakery & Cafe,Bakery,4.66325712,-74.05057819,d2g6db
